point,x,y,answer
p1,484.8915550184056,-31.006357052356066,1
p2,489.3911782449288,21.973915633917063,1
p3,462.8865749487044,-27.59988885077133,1
p4,517.2184791068717,5.588089596256003,1
p5,455.6690486048173,1.982180846643086,1
p6,455.74220553592073,-25.126801272140437,1
p7,476.7753354860433,-65.41434818080148,1
p8,417.62094332761774,-21.7464667873444,1
p9,438.8158414444548,7.686687218870478,1
p10,441.7726419484994,-40.97385127540207,1
p11,512.7757162482592,-2.2432761573931685,1
p12,470.6052962709447,-35.079042822437344,1
p13,452.0014822812595,14.122983475374753,1
p14,433.5369972489172,25.19653882574175,1
p15,449.7618216039759,8.303344165458853,1
p16,449.4243101237682,75.74920296087558,1
p17,466.7454784563614,-8.42575073104706,1
p18,491.4820026230999,-10.197117062389829,1
p19,472.7072101350495,-29.2415236689584,1
p20,426.211769190286,38.57245385822584,1
p21,487.8078129346156,40.92322798184037,1
p22,461.7612643766784,29.86203447464037,1
p23,420.4323995903026,20.41006502428482,1
p24,450.50670924016345,76.826461346946,1
p25,474.1527189846228,-4.67397214076658,1
p26,473.0654911857779,39.76611418495229,1
p27,442.5146375653203,72.76701102159298,1
p28,493.2121529394812,85.44993306112399,1
p29,436.5460768009857,51.32651053803225,1
p30,471.0815283064513,92.95701110653307,1
p31,446.1700315863084,61.20496472551562,1
p32,426.73747697194256,33.96879153478339,1
p33,483.66622683456194,113.61850524206534,1
p34,456.4737581366867,106.10954189778806,1
p35,468.80746172080273,59.71802806011755,1
p36,468.105304558541,128.27647746866967,1
p37,455.4744743177647,132.1340230127155,1
p38,377.2235133346447,112.90657364311907,1
p39,457.674710292198,82.3293948837277,1
p40,457.0444038603806,34.717876144400606,1
p41,446.9105872460921,108.09873998704349,1
p42,497.0276407588824,84.87264659673905,1
p43,427.60703105820926,88.39828335265167,1
p44,478.4758993241052,116.33850104845315,1
p45,434.2540367254604,124.89357601301532,1
p46,452.1732209891291,141.56898095097475,1
p47,427.29443296309466,105.68821901620284,1
p48,435.6690277793568,74.61534234455391,1
p49,455.3732790705467,129.34929298178363,1
p50,445.6816618468506,117.47088318621928,1
p51,402.08695023363487,114.87390014469162,1
p52,433.2677170015691,106.40348682695618,1
p53,437.69296623992216,145.56554053190737,1
p54,498.0808449827481,141.64710664644852,1
p55,448.16689619879565,137.1355826496607,1
p56,381.8037923679658,141.52604532378203,1
p57,440.0818496723269,219.1644234701881,1
p58,431.3936422848723,157.25235962663376,1
p59,434.99420313794815,116.07734222368688,1
p60,469.1729273795763,176.6202673229422,1
p61,457.45353507862205,129.69797922505808,1
p62,474.622432745312,117.83401587713216,1
p63,448.9420827490656,228.5056649129976,1
p64,400.39983392901456,148.69790153051807,1
p65,431.8668537946198,153.46967569390432,1
p66,381.10068337847474,173.51010710101212,1
p67,394.47668228996827,188.53231028723,1
p68,397.47025831548376,223.6858226471683,1
p69,400.24461350047136,170.38101871973288,1
p70,446.8190427540999,145.96371628951766,1
p71,427.89077772222527,224.94230546895236,1
p72,371.4781287463487,194.0968990814356,1
p73,426.1170022200706,214.83380167277005,1
p74,379.8121907492895,154.57790965248785,1
p75,431.16150906269087,205.90479006676895,1
p76,421.5830099171485,210.1833765956532,1
p77,392.2149140188728,209.5431499535593,1
p78,419.93778741643706,183.92142354187524,1
p79,465.6313904296208,222.3340894613232,1
p80,372.4142351058524,230.5734453098725,1
p81,377.3907772981405,237.2376009749397,1
p82,439.84974470498497,191.74320122359447,1
p83,432.4366344595747,231.47598047784035,1
p84,426.6235133962524,278.7153902974988,1
p85,393.0093700218857,201.90862294446092,1
p86,372.07789520806045,202.74545834179003,1
p87,394.8256645672244,240.1432305548541,1
p88,403.7979648772465,257.4028124517286,1
p89,394.22902479887887,278.8616144680866,1
p90,384.22425775386887,319.5184724871869,1
p91,409.2423115820347,214.84589937094947,1
p92,356.6372450792375,257.6713458244301,1
p93,380.33533324681,267.2429501369779,1
p94,399.4950783351127,246.25294086438777,1
p95,358.1364755952288,205.5962721854894,1
p96,368.3708502522031,279.3264383930824,1
p97,386.3988669866323,218.84389943593575,1
p98,383.3650531341274,270.3458731029989,1
p99,349.831359130513,265.9569930126539,1
p100,376.2547587408537,229.6035172113179,1
p101,383.38756366600944,283.25194587157665,1
p102,403.2750297306966,300.5665530898065,1
p103,327.5671387305728,243.33001964705863,1
p104,382.4462573401775,289.378727374669,1
p105,380.5289367770266,392.0354715461299,1
p106,380.2709313891045,312.9967757505852,1
p107,389.8154581930901,300.93562778323025,1
p108,349.7730734443013,306.6147572601483,1
p109,334.06677366323976,279.180522754362,1
p110,340.6957149530215,291.16821905593457,1
p111,422.68626040488016,235.10837081053975,1
p112,371.8090612169593,245.1465046490326,1
p113,335.023001670678,328.5853805594604,1
p114,349.0540909409158,265.96053453859906,1
p115,323.5964235374308,321.04386512986616,1
p116,321.05957376057694,309.4996914045851,1
p117,342.238041566484,285.7947778401855,1
p118,403.0748813588468,326.6839747300526,1
p119,275.87339551155185,315.5703188042924,1
p120,314.6307197676541,337.8465530082311,1
p121,308.5509429405423,311.1148109496673,1
p122,345.3041308133671,342.79930873150613,1
p123,291.9593492992423,309.04767242150785,1
p124,311.519479269814,301.7251079222132,1
p125,376.5170178017067,335.7028419221024,1
p126,283.49846626937324,353.303697016286,1
p127,382.7473954071153,358.94219932744994,1
p128,271.24555392778205,315.62749025796586,1
p129,352.56423866927287,311.09648112495995,1
p130,325.5881358087312,357.72333531358584,1
p131,282.16877521386704,334.84191242942603,1
p132,210.4283838584401,308.02492943905827,1
p133,297.7657437265652,303.43739091042414,1
p134,351.97827283507485,300.0663313732721,1
p135,287.4545980609164,348.97775213381254,1
p136,341.53107654846167,304.0498258326687,1
p137,330.8117752150881,349.4879494749485,1
p138,264.08272125328364,365.0843597336221,1
p139,297.09811745549626,335.23999708991107,1
p140,290.80605742404543,343.69721348204183,1
p141,289.6906013140997,377.1154503349983,1
p142,331.4261851297108,322.09668581870625,1
p143,345.38489148374424,302.632771302619,1
p144,274.37625369409966,380.79373226284673,1
p145,284.88328285853925,346.39652059322736,1
p146,267.7214813365845,352.20517128415264,1
p147,253.783828136186,394.3852826799162,1
p148,279.6629561077109,349.9962045776186,1
p149,293.4164063435271,381.8729284818593,1
p150,288.2784897114053,393.39736244518207,1
