Accident ID,Date,Time,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause
b0dd6f57,4/19/23,6:39,"Mumbai, India",13.488432,-73.290682,Snow,Snowy,5,7,Reckless Driving
6d69aa36,4/9/24,2:55,"Sydney, Australia",33.767869,104.869018,Rain,Snowy,1,7,Reckless Driving
425bb1f0,10/10/23,11:23,"Tokyo, Japan",-0.378031,-165.825855,Storm,Wet,4,0,Drunk Driving
90d5cf62,1/2/23,12:07,"Beijing, China",41.254879,-30.776959,Storm,Snowy,3,9,Reckless Driving
24d3501f,4/2/23,10:57,"Paris, France",-85.766268,-20.271304,Fog,Icy,2,6,Drunk Driving
0f1ed7d1,7/11/23,8:34,"Mumbai, India",-24.046032,-4.414578,Clear,Under Construction,4,8,Reckless Driving
82353f3e,5/26/24,19:06,"Mumbai, India",48.77465,-131.30627,Rain,Icy,4,5,Weather Conditions
3ab2d6f6,10/23/23,19:47,"London, UK",-55.335689,152.606359,Fog,Wet,2,9,Reckless Driving
6.14E+09,7/15/24,2:33,"Toronto, Canada",24.566435,-75.913198,Storm,Snowy,1,7,Mechanical Failure
b0b13d4b,11/9/24,23:31,"Toronto, Canada",-59.047194,57.831011,Clear,Under Construction,1,1,Weather Conditions
8694a279,9/14/23,20:11,"Berlin, Germany",-31.825114,-73.647462,Fog,Wet,3,9,Drunk Driving
1dfd0097,1/1/23,17:12,"Beijing, China",1.406127,-32.244107,Hail,Icy,5,9,Weather Conditions
6c97348c,1/5/23,18:41,"Mumbai, India",1.55188,-169.953341,Snow,Snowy,4,6,Drunk Driving
2db70f77,12/7/24,19:24,"Toronto, Canada",49.206865,-111.184284,Hail,Gravel,3,10,Mechanical Failure
acfb6bcc,12/30/23,17:57,"Tokyo, Japan",-59.799586,134.326268,Snow,Icy,1,1,Speeding
552448f0,7/1/24,19:25,"Tokyo, Japan",-19.00646,-52.779439,Rain,Gravel,5,9,Drunk Driving
78d1fca8,7/8/24,10:54,"London, UK",41.583094,34.483181,Hail,Dry,5,7,Mechanical Failure
711ca10d,3/6/23,10:17,"Beijing, China",14.023021,13.166353,Snow,Gravel,2,1,Distracted Driving
07a19dbc,1/22/23,8:11,"Toronto, Canada",-35.515747,-65.785699,Fog,Snowy,1,4,Reckless Driving
0d628b15,10/20/24,21:32,"Mumbai, India",-45.421121,-142.479166,Clear,Icy,2,5,Speeding
a17755ed,3/26/24,11:37,"Tokyo, Japan",-46.1074,156.13629,Hail,Dry,2,2,Distracted Driving
6f814599,11/15/23,8:52,"Tokyo, Japan",0.564118,-96.03814,Hail,Snowy,1,10,Drunk Driving
03e3a796,6/17/24,3:26,"Paris, France",39.311402,-103.818156,Rain,Dry,2,6,Drunk Driving
d0028b49,12/14/24,15:40,"Mumbai, India",13.419264,-176.27762,Snow,Gravel,3,0,Mechanical Failure
25e09923,4/15/23,15:09,"Beijing, China",-77.18038,38.151535,Hail,Wet,4,3,Distracted Driving
bed2c6c4,9/17/24,0:34,"Beijing, China",78.721562,33.39283,Snow,Gravel,2,7,Reckless Driving
74740d58,12/18/24,8:24,"New York, USA",-59.229291,15.139089,Storm,Under Construction,4,8,Drunk Driving
937a310d,2/11/23,23:44,"Mumbai, India",31.585442,-81.570146,Storm,Wet,4,7,Speeding
34429537,4/13/23,16:57,"Beijing, China",66.791916,169.892992,Storm,Dry,1,9,Mechanical Failure
32333075,5/5/24,17:46,"New York, USA",-66.593538,22.316442,Snow,Wet,1,8,Drunk Driving
5bccf535,1/1/24,14:27,"Toronto, Canada",-40.859514,22.640758,Clear,Icy,1,3,Mechanical Failure
33666c67,11/19/24,4:27,"Berlin, Germany",-62.486431,-47.774334,Fog,Under Construction,5,6,Distracted Driving
eeb04951,10/18/23,12:41,"Paris, France",63.995818,-159.438143,Clear,Dry,3,7,Reckless Driving
1db7ab91,8/31/24,8:30,"Sydney, Australia",-20.350387,160.628329,Snow,Dry,1,0,Speeding
a6096ace,3/23/24,5:47,"New York, USA",-22.396038,-85.316896,Snow,Icy,5,3,Drunk Driving
43138eec,11/18/24,10:09,"Mumbai, India",3.534182,-138.286329,Fog,Icy,3,5,Weather Conditions
f1b6e814,10/26/23,6:06,"Mumbai, India",-21.919688,-124.709878,Fog,Gravel,2,10,Mechanical Failure
84c341c6,10/6/23,17:57,"Tokyo, Japan",61.881671,157.894619,Rain,Gravel,4,2,Weather Conditions
c2651203,6/5/24,2:56,"London, UK",65.491629,107.589105,Rain,Icy,5,10,Distracted Driving
