study_hours,sleep_hours,attendance,prev_score,private_lesson,score
7.5,7.2,64.1,47.8,0.9,60.5
19.0,4.4,96.1,61.7,10.0,97.0
14.6,4.8,80.2,59.2,5.0,76.5
12.0,8.5,93.1,58.3,6.0,85.6
3.1,7.0,72.8,52.0,0.7,64.3
3.1,4.0,95.8,58.3,7.5,62.4
1.2,4.5,75.6,73.5,2.1,55.3
17.3,7.3,60.4,50.5,9.0,89.1
12.0,4.0,96.2,62.5,2.1,80.7
14.2,4.8,63.7,53.6,1.9,69.1
0.4,6.7,72.8,55.5,0.4,49.5
19.4,7.5,98.0,67.2,4.7,91.6
16.6,7.3,98.0,73.9,5.6,85.2
4.2,5.1,82.9,67.5,0.7,57.1
3.6,7.6,85.3,58.4,7.8,62.2
3.7,5.2,77.9,54.3,4.5,56.3
6.1,5.6,71.7,53.6,5.2,62.9
10.5,7.7,73.1,38.1,4.4,68.3
8.6,7.2,86.9,51.3,4.0,75.2
5.8,8.2,90.1,76.0,5.6,69.4
12.2,7.3,91.7,79.0,1.6,84.2
2.8,6.8,91.6,63.8,1.8,60.4
5.8,4.5,63.6,56.4,8.6,64.1
7.3,5.8,79.8,62.4,9.5,75.1
9.1,5.3,62.3,75.8,3.7,65.9
15.7,5.2,82.0,70.0,2.7,83.0
4.0,8.9,77.7,57.8,6.4,66.1
10.3,6.0,95.5,60.1,4.1,76.3
11.8,8.5,74.0,44.1,0.3,69.2
0.9,7.2,64.7,54.0,1.6,61.7
12.2,8.0,65.7,46.8,7.2,71.4
3.4,6.5,90.5,53.9,6.6,61.5
1.3,6.9,84.7,57.2,0.3,52.4
19.0,6.5,64.0,43.3,2.2,75.8
19.3,5.0,63.4,65.2,2.3,80.2
16.2,7.6,88.0,71.1,6.7,93.8
6.1,5.4,62.9,51.4,0.2,62.2
2.0,4.1,92.9,78.3,1.0,58.6
13.7,7.2,88.2,64.7,8.0,81.0
8.8,4.9,63.3,44.8,1.8,62.2
2.4,8.7,63.4,63.9,6.5,59.9
9.9,8.8,99.5,74.1,2.4,81.0
0.7,8.6,75.0,49.2,1.0,53.3
18.2,5.9,74.8,55.9,2.4,75.1
5.2,4.1,92.5,59.2,7.2,72.9
13.3,8.6,97.9,57.9,8.6,92.2
6.2,6.1,99.4,77.1,8.3,74.0
10.4,8.8,90.1,80.3,4.0,79.3
10.9,8.8,75.1,46.4,6.7,74.5
3.7,8.3,63.3,56.2,2.0,59.2
19.4,5.5,91.1,60.3,2.9,89.4
15.5,5.9,82.3,57.3,9.0,92.3
18.8,8.3,77.0,53.8,0.1,81.1
17.9,5.6,96.3,61.2,0.9,80.5
