mileage_km,car_age,engine_cc,fuel_efficiency,accident_count,price_man
140800,11,2000,17.2,0,2190
60800,4,2500,9.4,3,4060
49200,1,1300,19.8,3,3950
112500,13,3500,11.1,3,2160
145300,7,3500,12.8,0,2970
87500,3,1600,15.7,3,3400
196200,8,2500,15.3,1,1830
138500,11,3000,18.9,3,2090
98800,6,1600,19.5,0,3130
81500,15,1000,14.6,3,360
71900,2,2500,12.5,3,3890
147200,1,1000,15.4,1,2870
90500,1,3500,12.0,0,5180
16600,3,2000,9.2,0,4710
82600,7,3000,8.7,2,3270
148900,6,1600,19.0,1,2570
40600,15,1600,14.4,0,2130
39200,14,3500,10.5,2,3230
108700,15,2000,14.8,1,1010
108700,14,2500,19.5,0,2470
128700,13,1300,11.0,2,790
170600,10,1300,15.4,0,1310
146300,2,3000,14.2,1,3460
124100,6,1600,8.7,1,2160
145900,15,2500,14.1,3,470
68000,4,1600,8.0,2,3440
75500,11,1600,10.2,3,1960
49500,7,1000,17.2,0,3190
62300,5,1300,12.0,3,2450
128000,11,2500,11.4,1,1910
23000,8,3000,12.7,0,4380
89600,14,1600,14.8,3,1070
89000,2,2500,14.8,1,4380
101300,15,3000,10.2,3,1800
88000,7,2500,9.3,2,3270
65900,1,2500,16.9,3,4540
88100,4,1300,17.6,0,3200
179200,2,2000,17.8,3,2170
189100,4,1300,19.8,3,1800
102900,1,3500,17.3,3,4260
126700,9,2500,17.4,3,2180
27500,15,1300,18.5,2,1780
66900,15,3000,18.4,2,2680
85900,14,3000,12.9,1,2320
173900,15,1000,11.6,2,200
53800,6,1300,19.8,2,3080
99200,2,2500,18.1,3,3890
197200,5,3000,17.4,0,2600
106300,4,1300,16.1,3,2940
124500,3,1000,17.3,0,3310
28500,3,3500,11.7,2,4940
166100,14,1000,16.9,1,520
122600,1,3500,9.7,0,4240
111300,15,3500,14.7,2,1940
71800,3,1300,10.9,0,3870
64300,12,2500,17.1,1,2520
86300,11,3500,17.9,1,3270
137900,15,2500,9.3,0,1220
175700,15,1600,15.5,3,200
104500,1,2500,13.4,0,4570
135500,3,3500,19.0,3,3910
119300,8,3000,17.1,2,3000
126900,10,2000,12.2,0,2280
136600,1,3000,18.8,3,3960
169300,15,2500,18.4,2,770
21200,4,3500,18.2,2,5290
153900,10,3500,18.9,0,2940
52500,12,2000,12.5,1,2310
42900,8,2000,11.4,3,3230
116600,1,1600,16.3,2,3640
23700,11,3000,8.2,2,3490
177600,12,1600,8.4,3,200
127300,15,2500,8.6,0,1450
146100,6,3500,9.4,0,3370
8100,15,2500,17.0,1,2970
120900,12,2000,18.7,0,2200
113600,5,1600,19.5,2,2950
36000,7,1600,19.5,3,3160
34800,1,2500,13.7,0,5350
140600,8,1000,19.0,2,1730
67200,14,1000,10.5,0,1630
139900,14,3000,16.3,0,2190
113100,9,3500,10.2,0,3510
80800,9,1000,14.8,0,2520
185400,12,1600,11.7,1,880
169100,2,1000,18.2,2,2580
74700,1,3000,12.8,1,4640
13500,11,3500,11.7,0,4240
64400,2,3000,18.8,1,4720
82600,8,3500,12.3,0,4030
142500,6,1000,12.4,3,1030
199100,4,2500,17.6,2,2460
74400,1,2500,10.4,2,4030
153700,5,1300,19.2,1,2250
120700,9,1000,18.6,1,1950
139900,5,2000,12.3,3,2320
34500,10,1000,11.9,2,1860
82800,15,1000,9.5,3,270
52000,4,3000,17.9,0,4760
72000,6,3000,11.4,0,4120
105100,2,3500,17.4,2,4260
135000,15,3500,11.3,3,1260
25700,9,1000,14.1,1,3070
30500,1,1000,18.4,0,4420
67800,10,2500,18.5,3,2640
134000,13,2500,18.7,3,1460
170100,2,1000,12.4,3,1950
112900,6,1300,18.5,3,2190
171600,13,1300,15.1,0,930
80000,12,1000,17.2,2,1720
66800,13,2000,12.0,1,2080
74100,9,3500,9.6,3,3520
38400,9,3000,15.5,0,4060
166700,5,3000,10.6,1,3300
71000,7,2500,17.7,1,3810
112700,9,3000,13.5,1,2990
117800,15,3500,18.1,0,2130
106700,12,1600,8.3,1,1390
5500,8,2000,8.4,3,3320
197700,10,3500,8.5,3,1290
181500,14,3000,16.9,0,1860
45500,13,3000,16.8,2,2950
62000,3,2500,16.0,0,4860
106400,1,1600,19.1,0,4140
180900,1,3000,18.1,2,3470
196800,10,3500,16.7,0,2280
55200,10,3000,15.2,3,3270
115100,13,1300,15.8,3,750
162400,11,3000,16.5,0,2510
81900,6,3000,15.8,2,3660
147600,4,1300,13.8,2,1880
36400,6,2500,13.3,3,3660
122100,6,3500,17.3,0,4230
173800,3,2500,8.0,0,3000
196800,3,1600,9.3,0,2310
20500,11,1300,14.6,2,2940
88500,8,3000,13.7,0,4140
44900,4,3500,9.5,0,5130
92900,2,3000,19.3,3,4270
111800,4,2000,17.3,1,3520
23200,14,1300,12.2,1,2610
62900,10,1600,17.1,3,2250
185900,4,1300,15.9,3,1360
116000,7,2000,14.7,0,3380
94200,15,1300,15.2,3,970
151900,3,2000,10.1,2,2430
149700,4,1000,18.1,2,2370
14500,2,2000,19.0,0,5040
143200,10,3000,10.0,2,1800
168700,14,2000,17.1,0,1000
37400,9,2500,19.7,0,3650
157300,1,3500,19.9,2,4240
60900,3,3500,17.5,3,4810
